extraction_id,sample_id,date,method,final_vol,quant,gel,well,plate,notes,correction,corr_message,corr_editor,corr_date,storage
E1976,PADE08_056,2015-10-06,DNeasy 96,200,14.35,2015-10-28,G2,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2696,APCL15_373624,2016-03-05,DNeasy 96,200,23.147,NA,G7,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2657,APCL15_363411,2016-03-05,DNeasy 96,200,74.578,NA,H2,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1994,PADE09_068,2015-10-06,DNeasy 96,200,15.24,2015-10-28,A5,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2660,APCL15_031,2016-03-05,DNeasy 96,200,4.929,NA,C3,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2025,PADE12_024,2015-10-06,DNeasy 96,200,114,2015-10-28,H8,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2705,APCL15_405921,2016-03-05,DNeasy 96,200,100.136,NA,H8,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1971,PADE10_032,2015-10-06,DNeasy 96,200,37.83,2015-10-28,B2,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1989,PADE09_063,2015-10-06,DNeasy 96,200,62.22,2015-10-28,D4,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1975,PADE10_036,2015-10-06,DNeasy 96,200,38.27,2015-10-28,F2,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2026,PADE12_025,2015-10-06,DNeasy 96,200,94.03,2015-10-28,A9,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2016,PADE11_020,2015-10-06,DNeasy 96,200,22.17,2015-10-28,G7,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1981,PADE08_061,2015-10-06,DNeasy 96,200,96.84,2015-10-28,D3,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1988,PADE09_062,2015-10-06,DNeasy 96,200,11.58,2015-10-28,C4,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2002,PADE10_048,2015-10-06,DNeasy 96,200,12.6,2015-10-28,A6,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1984,PADE08_064,2015-10-06,DNeasy 96,200,146.5,2015-10-28,G3,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1995,PADE09_069,2015-10-06,DNeasy 96,200,53.41,2015-10-28,B5,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2013,PADE11_017,2015-10-06,DNeasy 96,200,36.21,2015-10-28,D7,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2647,APCL15_075,2016-03-05,DNeasy 96,200,27.207,NA,F1,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2706,APCL15_375271,2016-03-05,DNeasy 96,200,7.282,NA,A9,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1980,PADE08_060,2015-10-06,DNeasy 96,200,122.34,2015-10-28,C3,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2688,APCL15_403740,2016-03-05,DNeasy 96,200,18.081,NA,G6,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2731,APCL15_407431,2016-03-05,DNeasy 96,200,4.916,NA,B12,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2707,APCL15_403055,2016-03-05,DNeasy 96,200,6.057,NA,B9,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2020,PADE12_019,2015-10-06,DNeasy 96,200,102.48,2015-10-28,C8,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1992,PADE09_066,2015-10-06,DNeasy 96,200,30.72,2015-10-28,G4,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1993,PADE09_067,2015-10-06,DNeasy 96,200,56.15,2015-10-28,H4,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1966,PADE10_027,2015-10-06,DNeasy 96,200,27.02,2015-10-28,E1,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2009,PADE10_055,2015-10-06,DNeasy 96,200,87.64,2015-10-28,H6,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2671,APCL15_402770,2016-03-05,DNeasy 96,200,29.903,NA,F4,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1977,PADE08_057,2015-10-06,DNeasy 96,200,117.5,2015-10-28,H2,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2015,PADE11_019,2015-10-06,DNeasy 96,200,42.48,2015-10-28,F7,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1998,PADE09_072,2015-10-06,DNeasy 96,200,136.64,2015-10-28,E5,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2651,APCL15_375999,2016-03-05,DNeasy 96,200,3.982,NA,B2,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1987,PADE08_067,2015-10-06,DNeasy 96,200,49.96,2015-10-28,B4,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2006,PADE10_052,2015-10-06,DNeasy 96,200,46.39,2015-10-28,E6,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1962,PADE10_023,2015-10-06,DNeasy 96,200,35.86,2015-10-28,A1,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2022,PADE12_021,2015-10-06,DNeasy 96,200,100.83,2015-10-28,E8,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1969,PADE10_030,2015-10-06,DNeasy 96,200,31.3,2015-10-28,H1,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2005,PADE10_051,2015-10-06,DNeasy 96,200,82.71,2015-10-28,D6,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1983,PADE08_063,2015-10-06,DNeasy 96,200,64.72,2015-10-28,F3,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2687,APCL15_040,2016-03-05,DNeasy 96,200,10.522,NA,F6,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2011,PADE11_015,2015-10-06,DNeasy 96,200,33.81,2015-10-28,B7,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2699,APCL15_352991,2016-03-05,DNeasy 96,200,3.969,NA,B8,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2733,APCL15_044,2016-03-05,DNeasy 96,200,4.971,NA,D12,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2679,APCL15_375659,2016-03-05,DNeasy 96,200,12.181,NA,F5,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2010,PADE10_056,2015-10-06,DNeasy 96,200,33.84,2015-10-28,A7,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2023,PADE12_022,2015-10-06,DNeasy 96,200,128.56,2015-10-28,F8,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1978,PADE08_058,2015-10-06,DNeasy 96,200,49.78,2015-10-28,A3,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2723,APCL15_374493,2016-03-05,DNeasy 96,200,18.081,NA,B11,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2659,APCL15_071,2016-03-05,DNeasy 96,200,5.52,NA,B3,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2643,APCL15_404420,2016-03-05,DNeasy 96,200,75.29,NA,B1,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2008,PADE10_054,2015-10-06,DNeasy 96,200,44.71,2015-10-28,G6,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1979,PADE08_059,2015-10-06,DNeasy 96,200,73.14,2015-10-28,B3,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2003,PADE10_049,2015-10-06,DNeasy 96,200,30.32,2015-10-28,B6,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2014,PADE11_018,2015-10-06,DNeasy 96,200,50.94,2015-10-28,E7,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2017,PADE12_016,2015-10-06,DNeasy 96,200,87.49,2015-10-28,H7,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2653,APCL15_404064,2016-03-05,DNeasy 96,200,82.368,NA,D2,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2654,APCL15_374339,2016-03-05,DNeasy 96,200,20.333,NA,E2,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2644,APCL15_402971,2016-03-05,DNeasy 96,200,46.377,NA,C1,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1968,PADE10_029,2015-10-06,DNeasy 96,200,52.52,2015-10-28,G1,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1997,PADE09_071,2015-10-06,DNeasy 96,200,134.02,2015-10-28,D5,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1973,PADE10_034,2015-10-06,DNeasy 96,200,27.92,2015-10-28,D2,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1964,PADE10_025,2015-10-06,DNeasy 96,200,85.36,2015-10-28,C1,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2000,PADE10_046,2015-10-06,DNeasy 96,200,54.92,2015-10-28,G5,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2032,PADE06_006,2015-10-06,DNeasy 96,30,4.75,2015-10-28,G9,E1962-E2043,"0.712ng/uL in 200nuL = pre-cleaning, cleaned down to 30ul on 10/30",NA,NA,NA,0000-00-00,NA
E2680,APCL15_407451,2016-03-05,DNeasy 96,200,-0.4,NA,G5,E2642-E2737,2016-03-31: not enough DNA to digest,NA,NA,NA,0000-00-00,NA
E2716,APCL15_403370,2016-03-05,DNeasy 96,200,0.093,NA,C10,E2642-E2737,2016-03-31: not enough DNA to digest,NA,NA,NA,0000-00-00,NA
E2157,PADE00_002,2015-11-17,DNeasy 96,200,117.92,2015-11-22,B3,E2140-E2235,bright smear,NA,NA,NA,0000-00-00,NA
E1629,PADE14_206,2015-02-11,DNeasy 96,200,6.706,2015-03-23,G5,E1591-E1686,faint smear,NA,NA,NA,0000-00-00,NA
E1899,PADE08_038,2015-10-06,DNeasy 96,200,44.01,2015-10-21,E3,E1879-E1961,faint band,NA,NA,NA,0000-00-00,NA
E2084,PADE92_013,2015-11-17,DNeasy 96,200,21.061,2015-11-20,A6,E2044-E2139,bright smear,NA,NA,NA,0000-00-00,NA
E1617,PADE14_194,2015-02-11,DNeasy 96,200,72.563,2015-03-23,C4,E1591-E1686,bright smear,NA,NA,NA,0000-00-00,NA
E0040,SPSO13_004,2013-12-18,Agencourt,190,12.4,NA,NULL,NULL,"old extraction ID: SPSO13_004E004 , aliquot: 0.0291",NA,NA,NA,0000-00-00,NA
E2213,PADE92_002,2015-11-17,DNeasy 96,200,36.21,2015-11-22,B10,E2140-E2235,bright smear,NA,NA,NA,0000-00-00,NA
E0088,PADE14_002,2014-04-02,DNeasy,200,5.83,2014-04-03,NULL,NULL,"2hr lysation step , aliquot: 0.015",NA,NA,NA,0000-00-00,NA
E1585,PADE14_162,2015-02-11,DNeasy 96,200,9.594,2015-03-20,C12,E1495-E1590,faint smear,NA,NA,NA,0000-00-00,NA
E1564,PADE14_141,2015-02-11,DNeasy 96,200,20.556,2015-03-20,F9,E1495-E1590,bright band,NA,NA,NA,0000-00-00,NA
E2090,PADE92_019,2015-11-17,DNeasy 96,200,50.341,2015-11-20,G6,E2044-E2139,bright band,NA,NA,NA,0000-00-00,NA
E1542,PADE14_119,2015-02-11,DNeasy 96,200,21.82,2015-03-20,H6,E1495-E1590,faint band,NA,NA,NA,0000-00-00,NA
E1631,PADE14_208,2015-02-11,DNeasy 96,200,19.144,2015-03-23,A6,E1591-E1686,faint smear/band,NA,NA,NA,0000-00-00,NA
E1175,PADE14_015,2014-09-18,DNeasy 96,200,6.897,2014-10-09,A9,E1111-E1206,"faint/no band on gel, original quant off by 0.1, adjusted 3/18/15 PADE14_015",NA,NA,NA,0000-00-00,NA
E1154,PADE14_051,2014-09-18,DNeasy 96,200,1.666,2014-10-01,D6,E1111-E1206,"faint band on gel, original quant off by 0.1, adjusted 3/18/15 PADE14_051",NA,NA,NA,0000-00-00,NA
E2103,XXXX_,2015-11-17,DNeasy 96,200,-2.149,2015-11-20,D8,E2044-E2139,no band,NA,NA,NA,0000-00-00,NA
E1628,PADE14_205,2015-02-11,DNeasy 96,200,3.814,2015-03-23,F5,E1591-E1686,no band,NA,NA,NA,0000-00-00,NA
E2683,APCL15_401241,2016-03-05,DNeasy 96,200,-0.147,NA,B6,E2642-E2737,2016-03-31: not enough DNA to digest,NA,NA,NA,0000-00-00,NA
E2114,PADE98_027,2015-11-17,DNeasy 96,200,10.259,2015-11-20,G9,E2044-E2139,bright band,NA,NA,NA,0000-00-00,NA
E2183,PADE02_002,2015-11-17,DNeasy 96,200,91.88,2015-11-22,D6,E2140-E2235,bright smear,NA,NA,NA,0000-00-00,NA
E1630,PADE14_207,2015-02-11,DNeasy 96,200,9.207,2015-03-23,H5,E1591-E1686,faint smear,NA,NA,NA,0000-00-00,NA
E0039,SPSO13_003,2013-12-18,Agencourt,190,26.6,NA,NULL,NULL,"old extraction ID: SPSO13_003E003 , aliquot: 0.0293",NA,NA,NA,0000-00-00,NA
E1635,PADE14_212,2015-02-11,DNeasy 96,200,13.982,2015-03-23,E6,E1591-E1686,faint band,NA,NA,NA,0000-00-00,NA
E1886,PADE08_025,2015-10-06,DNeasy 96,200,93.26,2015-10-21,H1,E1879-E1961,bright band,NA,NA,NA,0000-00-00,NA
E1627,PADE14_204,2015-02-11,DNeasy 96,200,4.141,2015-03-23,E5,E1591-E1686,no band,NA,NA,NA,0000-00-00,NA
E2106,PADE98_019,2015-11-17,DNeasy 96,200,21.434,2015-11-20,G8,E2044-E2139,bright band,NA,NA,NA,0000-00-00,NA
E2196,PADE90_014,2015-11-17,DNeasy 96,200,13.39,2015-11-22,A8,E2140-E2235,faint band,NA,NA,NA,0000-00-00,NA
E2719,APCL15_403716,2016-03-05,DNeasy 96,200,0.646,NA,F10,E2642-E2737,2016-03-31: not enough DNA to digest,NA,NA,NA,0000-00-00,NA
E2039,PADE06_013,2015-10-06,DNeasy 96,30,8.61,2015-10-28,F10,E1962-E2043,"1.292ng/uL in 200nuL = pre-cleaning, cleaned down to 30ul on 10/30",NA,NA,NA,0000-00-00,NA
E1922,PADE09_042,2015-10-06,DNeasy 96,200,67.3,2015-10-21,D6,E1879-E1961,semi-bright band,NA,NA,NA,0000-00-00,NA
E2203,PADE91_002,2015-11-17,DNeasy 96,30,0,2015-11-22,H8,E2140-E2235,"faint band, -0.02 ng/uL in 200nuL = pre-cleaning, cleaned down to 30ul on 11/29",NA,NA,NA,0000-00-00,NA
E2254,PADE02_017,2015-11-17,DNeasy,30,26.6,2015-11-22,NULL,NULL,"faint smear, 3.99 ng/uL in 200nuL = pre-cleaning, cleaned down to 30ul on 11/29",NA,NA,NA,0000-00-00,NA
E2144,PADE98_005,2015-11-17,DNeasy 96,200,94.36,2015-11-22,E1,E2140-E2235,bright smear,NA,NA,NA,0000-00-00,NA
E1933,PADE10_016,2015-10-06,DNeasy 96,200,67.26,2015-10-21,G7,E1879-E1961,bright band,NA,NA,NA,0000-00-00,NA
E2124,PADE00_015,2015-11-17,DNeasy 96,200,69.877,2015-11-20,A11,E2044-E2139,bright smear,NA,NA,NA,0000-00-00,NA
E1932,PADE10_015,2015-10-06,DNeasy 96,200,69.95,2015-10-21,F7,E1879-E1961,faint band,NA,NA,NA,0000-00-00,NA
E1549,PADE14_126,2015-02-11,DNeasy 96,200,6.057,2015-03-20,G7,E1495-E1590,faint smear,NA,NA,NA,0000-00-00,NA
E1961,PADE10_022,2015-10-06,DNeasy 96,200,10.33,2015-10-21,C11,E1879-E1961,no band,NA,NA,NA,0000-00-00,NA
E2150,PADE99_002,2015-11-17,DNeasy 96,200,86.3,2015-11-22,C2,E2140-E2235,bright smear,NA,NA,NA,0000-00-00,NA
E1125,PADE14_063,2014-09-18,DNeasy 96,200,37.008,2014-09-29,G2,E1111-E1206,"original quant off by 0.1, adjusted 3/18/15 PADE14_063",NA,NA,NA,0000-00-00,NA
E1602,PADE14_179,2015-02-11,DNeasy 96,200,56.128,2015-03-23,D2,E1591-E1686,bright smear,NA,NA,NA,0000-00-00,NA
E2095,PADE92_024,2015-11-17,DNeasy 96,200,25.674,2015-11-20,D7,E2044-E2139,bright smear,NA,NA,NA,0000-00-00,NA
E2677,APCL15_400524,2016-03-05,DNeasy 96,200,0.087,NA,D5,E2642-E2737,2016-03-31: not enough DNA to digest,NA,NA,NA,0000-00-00,NA
E0105,PADE13_015,2014-04-03,DNeasy,200,34.5,2014-04-03,NULL,NULL,aliquot: 0.0232,NA,NA,NA,0000-00-00,NA
E1949,PADE09_054,2015-10-06,DNeasy 96,200,83.15,2015-10-21,G9,E1879-E1961,bright band,NA,NA,NA,0000-00-00,NA
E1545,PADE14_122,2015-02-11,DNeasy 96,200,6.004,2015-03-20,C7,E1495-E1590,no band,NA,NA,NA,0000-00-00,NA
E1911,PADE09_031,2015-10-06,DNeasy 96,200,98.87,2015-10-21,A5,E1879-E1961,bright band,NA,NA,NA,0000-00-00,NA
E1597,PADE14_174,2015-02-11,DNeasy 96,200,9.453,2015-03-23,G1,E1591-E1686,faint smear,NA,NA,NA,0000-00-00,NA
E0071,SPSO13_005,2014-02-28,Agencourt,190,13.2,NA,NULL,NULL,"old extraction ID: SPSO13_005E015 , aliquot: 0.0215",NA,NA,NA,0000-00-00,NA
E0118,SPSO14_009,2014-04-09,DNeasy,200,34.1,2014-04-09,NULL,NULL,aliquot: 0.0097,NA,NA,NA,0000-00-00,NA
E2057,PADE89_014,2015-11-17,DNeasy 96,200,33.49,2015-11-20,F2,E2044-E2139,bright smear,NA,NA,NA,0000-00-00,NA
E2059,PADE89_016,2015-11-17,DNeasy 96,200,28.087,2015-11-20,H2,E2044-E2139,bright smear,NA,NA,NA,0000-00-00,NA
E1113,PADE14_020,2014-09-18,DNeasy 96,200,74.314,2014-09-29,C1,E1111-E1206,"original quant off by 0.1, adjusted 3/18/15 PADE14_020",NA,NA,NA,0000-00-00,NA
E1672,PADE14_249,2015-02-11,DNeasy 96,200,12.885,2015-03-23,B11,E1591-E1686,faint band,NA,NA,NA,0000-00-00,NA
E1541,PADE14_118,2015-02-11,DNeasy 96,200,11.149,2015-03-20,G6,E1495-E1590,faint band,NA,NA,NA,0000-00-00,NA
E2667,APCL15_400642,2016-03-05,DNeasy 96,200,-0.867,NA,B4,E2642-E2737,2016-03-31: not enough DNA to digest,NA,NA,NA,0000-00-00,NA
E1156,PADE14_053,2014-09-18,DNeasy 96,200,4.552,2014-10-01,F6,E1111-E1206,"original quant off by 0.1, adjusted 3/18/15 PADE14_053",NA,NA,NA,0000-00-00,NA
E1622,PADE14_199,2015-02-11,DNeasy 96,200,21.711,2015-03-23,H4,E1591-E1686,fraint smear,NA,NA,NA,0000-00-00,NA
E0082,PADE14_002,2014-03-31,DNeasy,200,0.16,2014-04-01,NULL,NULL,"too low to detect on gel - skipped EtOH step , aliquot: 0.0166",NA,NA,NA,0000-00-00,NA
E1570,PADE14_147,2015-02-11,DNeasy 96,200,48.349,2015-03-20,D10,E1495-E1590,bright smear,NA,NA,NA,0000-00-00,NA
E2168,PADE01_004,2015-11-17,DNeasy 96,200,80.61,2015-11-22,E4,E2140-E2235,bright smear,NA,NA,NA,0000-00-00,NA
E1526,PADE14_103,2015-02-11,DNeasy 96,200,4.77,2015-03-20,H4,E1495-E1590,no band,NA,NA,NA,0000-00-00,NA
E2154,PADE99_006,2015-11-17,DNeasy 96,200,11.35,2015-11-22,G2,E2140-E2235,bright band,NA,NA,NA,0000-00-00,NA
E2735,APCL15_407118,2016-03-05,DNeasy 96,200,1.246,NA,F12,E2642-E2737,2016-03-31: not enough DNA to digest,NA,NA,NA,0000-00-00,NA
E1891,PADE08_030,2015-10-06,DNeasy 96,200,67.33,2015-10-21,E2,E1879-E1961,semi-bright band,NA,NA,NA,0000-00-00,NA
E2256,PADE02_019,2015-11-17,DNeasy,200,35.22,2015-11-22,NULL,NULL,bright smear,NA,NA,NA,0000-00-00,NA
E2073,PADE91_020,2015-11-17,DNeasy 96,200,53.892,2015-11-20,F4,E2044-E2139,bright smear,NA,NA,NA,0000-00-00,NA
E2062,PADE89_019,2015-11-17,DNeasy 96,200,34.394,2015-11-20,C3,E2044-E2139,bright smear,NA,NA,NA,0000-00-00,NA
E1613,PADE14_190,2015-02-11,DNeasy 96,200,65.881,2015-03-23,G3,E1591-E1686,bright smear,NA,NA,NA,0000-00-00,NA
E1685,PADE10_044,2015-02-11,DNeasy 96,200,12.229,2015-03-23,G12,E1591-E1686,faint band,NA,NA,NA,0000-00-00,NA
E1117,PADE14_023,2014-09-18,DNeasy 96,200,138.728,2014-09-29,G1,E1111-E1206,"original quant off by 0.1, adjusted 3/18/15 PADE14_023",NA,NA,NA,0000-00-00,NA
E1512,PADE14_089,2015-02-11,DNeasy 96,200,23.92,2015-03-20,B3,E1495-E1590,bright band,NA,NA,NA,0000-00-00,NA
E1897,PADE08_036,2015-10-06,DNeasy 96,200,66.33,2015-10-21,C3,E1879-E1961,faint band,NA,NA,NA,0000-00-00,NA
E1655,PADE14_232,2015-02-11,DNeasy 96,200,21.325,2015-03-23,A9,E1591-E1686,faint band,NA,NA,NA,0000-00-00,NA
E1684,PADE10_043,2015-02-11,DNeasy 96,200,55.311,2015-03-23,F12,E1591-E1686,bright smear,NA,NA,NA,0000-00-00,NA
E1554,PADE14_131,2015-02-11,DNeasy 96,200,23.873,2015-03-20,D8,E1495-E1590,bright smear,NA,NA,NA,0000-00-00,NA
