digest_id,extraction_id,date,vol_in,ng_in,enzymes,final_vol,quant,well,plate,notes,correction,corr_message,corr_editor,corr_date,storage
D2487,E2232,2015-12-01,30,422,PstI_EcoRI,40,1.356,A1,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D0001,E0034,2013-12-18,33.3,0,SBfI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D001",NA,NA,NA,0000-00-00,NA
D0002,E0034,2013-12-18,33.3,1000,SBfI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D002",NA,NA,NA,0000-00-00,NA
D0003,E0034,2013-12-18,33.3,1000,SBfI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D003",NA,NA,NA,0000-00-00,NA
D0004,E0034,2013-12-18,33.3,1000,EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D004",NA,NA,NA,0000-00-00,NA
D0005,E0034,2013-12-18,33.3,1000,PstI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D005",NA,NA,NA,0000-00-00,NA
D0006,E0034,2013-12-18,33.3,1000,PstI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D006",NA,NA,NA,0000-00-00,NA
D0007,E0034,2013-12-18,33.3,1000,PstI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D007",NA,NA,NA,0000-00-00,NA
D0008,E0034,2013-12-18,33.3,1000,MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D008",NA,NA,NA,0000-00-00,NA
D0009,E0035,2013-12-18,42.2,1000,SBfI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_050D009",NA,NA,NA,0000-00-00,NA
D0010,E0035,2013-12-18,42.2,1000,SBfI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_050D010",NA,NA,NA,0000-00-00,NA
D0011,E0035,2013-12-18,42.2,1000,PstI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_050D011",NA,NA,NA,0000-00-00,NA
D0012,E0035,2013-12-18,42.2,1000,PstI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_050D012",NA,NA,NA,0000-00-00,NA
D0013,E0037,2013-12-18,32.1,1000,SBfI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D001",NA,NA,NA,0000-00-00,NA
D0014,E0037,2013-12-18,32.1,1000,SBfI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D002",NA,NA,NA,0000-00-00,NA
D0015,E0037,2013-12-18,32.1,1000,SBfI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D003",NA,NA,NA,0000-00-00,NA
D0016,E0037,2013-12-18,32.1,1000,EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D004",NA,NA,NA,0000-00-00,NA
D0017,E0037,2013-12-18,32.1,1000,PstI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D005",NA,NA,NA,0000-00-00,NA
D0018,E0037,2013-12-18,32.1,1000,PstI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D006",NA,NA,NA,0000-00-00,NA
D0019,E0037,2013-12-18,32.1,1000,PstI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D007",NA,NA,NA,0000-00-00,NA
D0020,E0037,2013-12-18,32.1,1000,MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D008",NA,NA,NA,0000-00-00,NA
D0021,E0038,2013-12-18,45.5,1000,SBfI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_002D009",NA,NA,NA,0000-00-00,NA
D0022,E0038,2013-12-18,45.5,1000,SBfI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_002D010",NA,NA,NA,0000-00-00,NA
D0023,E0038,2013-12-18,45.5,1000,PstI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_002D011",NA,NA,NA,0000-00-00,NA
D0024,E0038,2013-12-18,45.5,1000,PstI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_002D012",NA,NA,NA,0000-00-00,NA
D0025,E0022,2013-12-18,57.5,1000,SBfI,NULL,NULL,NULL,NULL,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D006",NA,NA,NA,0000-00-00,NA
D0026,E0022,2013-12-18,57.5,1000,SBfI_MluCI,NULL,NULL,NULL,NULL,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D007",NA,NA,NA,0000-00-00,NA
D0027,E0022,2013-12-18,57.5,1000,EcoRI,NULL,NULL,NULL,NULL,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D008",NA,NA,NA,0000-00-00,NA
D0028,E0022,2013-12-18,57.5,1000,PstI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D009",NA,NA,NA,0000-00-00,NA
D0029,E0022,2013-12-18,57.5,1000,PstI,NULL,NULL,NULL,NULL,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D010",NA,NA,NA,0000-00-00,NA
D0030,E0022,2013-12-18,57.5,1000,PstI_MluCI,NULL,NULL,NULL,NULL,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D011",NA,NA,NA,0000-00-00,NA
D0031,E0022,2013-12-18,57.5,1000,MluCI,NULL,NULL,NULL,NULL,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D012",NA,NA,NA,0000-00-00,NA
D0032,E0037,2013-12-20,32.1,1000,PstI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/2/2014 , old Digest ID: D13",NA,NA,NA,0000-00-00,NA
D0033,E0037,2013-12-20,22.3,694,EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/2/2014 , old Digest ID: D14",NA,NA,NA,0000-00-00,NA
D0034,E0037,2013-12-20,32.1,1000,PstI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/2/2014 , old Digest ID: D15",NA,NA,NA,0000-00-00,NA
D0035,E0038,2013-12-20,45.5,1000,PstI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/2/2014 , old Digest ID: D16",NA,NA,NA,0000-00-00,NA
D0036,E0038,2013-12-20,45.5,1000,EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/2/2014 , old Digest ID: D17",NA,NA,NA,0000-00-00,NA
D0037,E0038,2013-12-20,45.5,1000,PstI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/2/2014 , old Digest ID: D18",NA,NA,NA,0000-00-00,NA
D0038,E0022,2013-12-20,22.3,388,PstI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalzyer 1/2/2014 , old Digest ID: PADE13_011D013",NA,NA,NA,0000-00-00,NA
D0039,E0022,2013-12-20,22.3,388,SBfI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalzyer 1/2/2015 , old Digest ID: PADE13_011D014",NA,NA,NA,0000-00-00,NA
D0040,E0022,2013-12-20,22.3,388,SBfI_MluCI,NULL,NULL,NULL,NULL,"Bioanalzyer 1/2/2016 , old Digest ID: PADE13_011D015",NA,NA,NA,0000-00-00,NA
D0041,E0022,2013-12-20,22.3,388,PstI,NULL,NULL,NULL,NULL,"Bioanalzyer 1/2/2017 , old Digest ID: PADE13_011D016",NA,NA,NA,0000-00-00,NA
D0042,E0022,2013-12-20,22.3,388,EcoRI,NULL,NULL,NULL,NULL,"Bioanalzyer 1/2/2014 , old Digest ID: PADE13_011D017",NA,NA,NA,0000-00-00,NA
D0043,E0022,2013-12-20,22.3,388,SBfI,NULL,NULL,NULL,NULL,"Bioanalzyer 1/2/2019 , old Digest ID: PADE13_011D018",NA,NA,NA,0000-00-00,NA
D0044,E0042,2014-01-06,22.5,551,SBfI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/6/2014 , old Digest ID: SPSO13_001D019",NA,NA,NA,0000-00-00,NA
D0045,E0042,2014-01-06,40.8,1000,MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/6/2014 , old Digest ID: SPSO13_001D020",NA,NA,NA,0000-00-00,NA
D0046,E0042,2014-01-06,40.8,1000,SBfI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/6/2014 , old Digest ID: SPSO13_001D021",NA,NA,NA,0000-00-00,NA
D0047,E0042,2014-01-06,44.3,1085,SBfI_MluCI,40,4.25,NULL,NULL,"stopped after digest cleanup decided to use SBfI_EcoRI, Pool 4 , old Digest ID: SPSO13_001D022",NA,NA,NA,0000-00-00,NA
D0048,E0042,2014-01-06,40.8,1000,PstI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/6/2014 , old Digest ID: SPSO13_001D023",NA,NA,NA,0000-00-00,NA
D0049,E0043,2014-01-06,34.1,1000,PstI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/6/2014 , old Digest ID: SPSO13_002D024",NA,NA,NA,0000-00-00,NA
D0050,E0043,2014-01-06,44.3,1298,SBfI_MluCI,40,7.49,NULL,NULL,"stopped after digest cleanup decided to use SBfI_EcoRI, Pool 4 , old Digest ID: SPSO13_002D025",NA,NA,NA,0000-00-00,NA
D0051,E0043,2014-01-06,34.1,1000,SBfI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/6/2014 , old Digest ID: SPSO13_002D026",NA,NA,NA,0000-00-00,NA
D0052,E0039,2014-01-14,44.3,1178,SBfI_MluCI,40,15.8,NULL,NULL,"used 44.3uL= 1.2ug DNA in digest stopped after digest cleanup decided to use SBfI_EcoRI, Pool 4 , old Digest ID: SPSO13_003D029",NA,NA,NA,0000-00-00,NA
D0053,E0040,2014-01-14,44.3,549,SBfI_MluCI,40,3.65,NULL,NULL,"used 44.3uL= 0.55ug DNA in digest stopped after digest cleanup decided to use SBfI_EcoRI, Pool 4 , old Digest ID: SPSO13_004D030",NA,NA,NA,0000-00-00,NA
D0054,E0041,2014-01-14,44.3,549,SBfI_MluCI,40,8.4,NULL,NULL,"used 44.3uL= 0.55ug DNA in digest stopped after digest cleanup decided to use SBfI_EcoRI, Pool 4 , old Digest ID: SPSO13_005D031",NA,NA,NA,0000-00-00,NA
D0055,E0035,2014-01-15,42.2,1000,SBfI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/17/2014 , old Digest ID: APCL12_050D013",NA,NA,NA,0000-00-00,NA
D0056,E0035,2014-01-15,42.2,1000,PstI,NULL,NULL,NULL,NULL,"moved tuBes; Bioanalyzer 1/17/2014 , old Digest ID: APCL12_050D014",NA,NA,NA,0000-00-00,NA
D0057,E0035,2014-01-15,42.2,1000,EcoRI,50,13.1,NULL,NULL,"not cleaned prior to ligation; Bioanalyzer 1/17/2014; only ~300ng used for digest, P2 PCR test , old Digest ID: APCL12_050D015",NA,NA,NA,0000-00-00,NA
D0058,E0035,2014-01-15,42.2,1000,MluCI,50,5.13,NULL,NULL,"not cleaned prior to ligation; Bioanalyzer 1/17/2014; only ~300ng used for digest, P2 PCR test , old Digest ID: APCL12_050D016",NA,NA,NA,0000-00-00,NA
D0059,E0035,2014-01-15,42.2,1000,SBfI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/17/2014 , old Digest ID: APCL12_050D017",NA,NA,NA,0000-00-00,NA
D0060,E0033,2014-01-15,63.3,1000,SBfI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/17/2014 , old Digest ID: APCL12_046D018",NA,NA,NA,0000-00-00,NA
D0061,E0035,2014-01-15,42.2,1000,SBfI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/17/2014 , old Digest ID: APCL12_050D019",NA,NA,NA,0000-00-00,NA
D0062,E0033,2014-01-15,63.3,1000,SBfI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/17/2014 , old Digest ID: APCL12_046D020",NA,NA,NA,0000-00-00,NA
D0063,E0035,2014-01-15,42.2,1000,PstI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/17/2014 , old Digest ID: APCL12_050D021",NA,NA,NA,0000-00-00,NA
D0064,E0033,2014-01-15,63.3,1000,PstI_EcoRI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/17/2014 , old Digest ID: APCL12_046D022",NA,NA,NA,0000-00-00,NA
D0065,E0035,2014-01-15,42.2,1000,PstI_MluCI,NULL,NULL,NULL,NULL,"Bioanalyzer 1/17/2014 , old Digest ID: APCL12_050D023",NA,NA,NA,0000-00-00,NA
D0066,E0021,2014-01-21,58.5,1000,SBfI,NULL,NULL,NULL,NULL,"Bioanalyzer 3/6/2014; only 214ng used for 50uL digest , old Digest ID: PADE13_006D019",NA,NA,NA,0000-00-00,NA
D0067,E0021,2014-01-21,58.5,1000,PstI,NULL,NULL,NULL,NULL,"Bioanalyzer 3/6/2014; only 214ng used for 50uL digest , old Digest ID: PADE13_006D020",NA,NA,NA,0000-00-00,NA
D0068,E0021,2014-01-21,58.5,1000,EcoRI,50,3.75,NULL,NULL,"not cleaned prior to ligation; Bioanalyzer 3/6/2014; only 214ng used for 50uL digest, P2 PCR test , old Digest ID: PADE13_006D021",NA,NA,NA,0000-00-00,NA
D0069,E0021,2014-01-21,58.5,1000,MluCI,50,3.46,NULL,NULL,"not cleaned prior to ligation; Bioanalyzer 3/6/2014; only 214ng used for 50uL digest, P2 PCR test , old Digest ID: PADE13_006D022",NA,NA,NA,0000-00-00,NA
D0070,E0047,2014-01-23,0,0,SBfI_EcoRI,120,1.76,NULL,NULL,"used 44.5uL to digest , old Digest ID: APCL12_001D024",NA,NA,NA,0000-00-00,NA
D0071,E0048,2014-01-23,0,0,SBfI_EcoRI,120,3.14,NULL,NULL,"used 44.5uL to digest , old Digest ID: APCL12_002D025",NA,NA,NA,0000-00-00,NA
D0072,E0049,2014-01-23,0,0,SBfI_EcoRI,120,1.85,NULL,NULL,"used 44.5uL to digest , old Digest ID: APCL12_003D026",NA,NA,NA,0000-00-00,NA
D0073,E0050,2014-01-23,0,0,SBfI_EcoRI,120,1.49,NULL,NULL,"used 44.5uL to digest , old Digest ID: APCL12_004D027",NA,NA,NA,0000-00-00,NA
D0074,E0051,2014-01-23,44.5,0,SBfI_EcoRI,120,4.64,NULL,NULL,old Digest ID: APCL12_005D028,NA,NA,NA,0000-00-00,NA
D0075,E0052,2014-01-23,0,0,SBfI_EcoRI,120,1,NULL,NULL,"used 44.5uL to digest , old Digest ID: APCL12_006D029",NA,NA,NA,0000-00-00,NA
D0076,E0053,2014-01-23,0,0,SBfI_EcoRI,120,5.6,NULL,NULL,"used 44.5uL to digest , old Digest ID: APCL12_007D030",NA,NA,NA,0000-00-00,NA
D0077,E0054,2014-01-23,0,0,SBfI_EcoRI,120,0.3,NULL,NULL,"used 44.5uL to digest , old Digest ID: APCL12_008D031",NA,NA,NA,0000-00-00,NA
D0078,E0055,2014-01-23,0,0,SBfI_EcoRI,120,6.02,NULL,NULL,"used 44.5uL to digest , old Digest ID: APCL12_009D032",NA,NA,NA,0000-00-00,NA
D0079,E0056,2014-01-23,44.5,0,SBfI_EcoRI,120,3.4,NULL,NULL,old Digest ID: APCL12_010D033,NA,NA,NA,0000-00-00,NA
D0080,E0057,2014-01-23,44.5,0,SBfI_EcoRI,120,17,NULL,NULL,old Digest ID: APCL12_011D034,NA,NA,NA,0000-00-00,NA
D0081,E0058,2014-01-23,44.5,0,SBfI_EcoRI,120,44.3,NULL,NULL,old Digest ID: APCL12_012D035,NA,NA,NA,0000-00-00,NA
D0082,E0059,2014-01-23,0,0,SBfI_EcoRI,120,NULL,NULL,NULL,"used 44.5uL to digest , old Digest ID: APCL12_013D036",NA,NA,NA,0000-00-00,NA
D0083,E0060,2014-01-23,44.5,0,SBfI_EcoRI,120,5.49,NULL,NULL,old Digest ID: APCL12_014D037,NA,NA,NA,0000-00-00,NA
D0084,E0061,2014-01-23,44.5,0,SBfI_EcoRI,120,28,NULL,NULL,old Digest ID: APCL12_015D038,NA,NA,NA,0000-00-00,NA
D0085,E0062,2014-01-23,44.5,0,SBfI_EcoRI,120,16.7,NULL,NULL,old Digest ID: APCL12_016D039,NA,NA,NA,0000-00-00,NA
D0086,E0063,2014-01-23,44.5,0,SBfI_EcoRI,120,23.5,NULL,NULL,old Digest ID: APCL12_017D040,NA,NA,NA,0000-00-00,NA
D0087,E0064,2014-01-23,44.5,0,SBfI_EcoRI,120,6.07,NULL,NULL,old Digest ID: APCL12_018D041,NA,NA,NA,0000-00-00,NA
D0088,E0065,2014-01-23,0,0,SBfI_EcoRI,120,2.06,NULL,NULL,"used 44.5uL to digest , old Digest ID: APCL12_019D042",NA,NA,NA,0000-00-00,NA
D0089,E0066,2014-01-23,44.5,0,SBfI_EcoRI,120,12.5,NULL,NULL,old Digest ID: APCL12_021D043,NA,NA,NA,0000-00-00,NA
D0090,E0042,2014-01-23,40.8,1000,SBfI_EcoRI,120,5.9,NULL,NULL,old Digest ID: SPSO13_001D032,NA,NA,NA,0000-00-00,NA
D0091,E0038,2014-01-23,45.5,1000,SBfI_EcoRI,120,6.62,NULL,NULL,old Digest ID: SPSO13_002D033,NA,NA,NA,0000-00-00,NA
D0092,E0039,2014-01-23,37.6,1000,SBfI_EcoRI,120,9.01,NULL,NULL,old Digest ID: SPSO13_003D034,NA,NA,NA,0000-00-00,NA
D0093,E0040,2014-01-23,80.6,1000,SBfI_EcoRI,120,2.56,NULL,NULL,"not enough digest product to continue , old Digest ID: SPSO13_004D035",NA,NA,NA,0000-00-00,NA
D0094,E0041,2014-01-23,80.6,1000,SBfI_EcoRI,120,0.119,NULL,NULL,"not enough digest product to continue , old Digest ID: SPSO13_005D036",NA,NA,NA,0000-00-00,NA
D0095,E0045,2014-01-24,28,1036,SBfI_EcoRI,40,11.3,NULL,NULL,old Digest ID: SPSO13_004D037,NA,NA,NA,0000-00-00,NA
D0096,E0046,2014-01-24,27.5,1000,SBfI_EcoRI,40,21.5,NULL,NULL,old Digest ID: SPSO13_005D038,NA,NA,NA,0000-00-00,NA
D0097,E0042,2014-03-03,40.8,1000,SBfI_EcoRI,40,12.9,NULL,NULL,"*only 30uL left=735ng in digest/used up all of extract in this digest, ligated 4x  used up all of digest in this ligation , old Digest ID: SPSO13_001D039",NA,NA,NA,0000-00-00,NA
D0098,E0043,2014-03-03,34.1,1000,SBfI_EcoRI,40,26.9,NULL,NULL,"ligated 4x , old Digest ID: SPSO13_002D040",NA,NA,NA,0000-00-00,NA
D0099,E0044,2014-03-03,56.8,1000,SBfI_EcoRI,40,18,NULL,NULL,"*only 783.2ng in digest, ligated 4x , old Digest ID: SPSO13_003D041",NA,NA,NA,0000-00-00,NA
D0100,E0045,2014-03-03,28,1036,SBfI_EcoRI,40,17.8,NULL,NULL,"ligated 4x , old Digest ID: SPSO13_004D042",NA,NA,NA,0000-00-00,NA
D0101,E0046,2014-03-03,27.5,1000,SBfI_EcoRI,40,20.9,NULL,NULL,"ligated 4x , old Digest ID: SPSO13_005D043",NA,NA,NA,0000-00-00,NA
D0102,E0045,2014-03-11,28,1036,SBfI,0,NULL,NULL,NULL,"digest tests: 1/2 lamBda 1/2 extract , old Digest ID: SPSO13_004D044",NA,NA,NA,0000-00-00,NA
D0103,E0045,2014-03-11,28,1036,EcoRI,0,NULL,NULL,NULL,"digest tests: 1/2 lamBda 1/2 extract , old Digest ID: SPSO13_004D045",NA,NA,NA,0000-00-00,NA
D0104,E0045,2014-03-11,28,1036,PstI,0,NULL,NULL,NULL,"digest tests: 1/2 lamBda 1/2 extract , old Digest ID: SPSO13_004D046",NA,NA,NA,0000-00-00,NA
D0105,E0045,2014-03-11,28,1036,MluCI,0,NULL,NULL,NULL,"digest tests: 1/2 lamBda 1/2 extract , old Digest ID: SPSO13_004D047",NA,NA,NA,0000-00-00,NA
D0106,E0045,2014-03-11,28,1036,SBfI,0,NULL,NULL,NULL,"digest tests: extract only , old Digest ID: SPSO13_004D048",NA,NA,NA,0000-00-00,NA
D0107,E0045,2014-03-11,28,1036,EcoRI,25,20.6,NULL,NULL,"**not cleaned prior to ligation; digest tests: extract only, P2 PCR test , old Digest ID: SPSO13_004D049",NA,NA,NA,0000-00-00,NA
D0108,E0045,2014-03-11,28,1036,PstI,0,NULL,NULL,NULL,"digest tests: extract only , old Digest ID: SPSO13_004D050",NA,NA,NA,0000-00-00,NA
D0109,E0045,2014-03-11,28,1036,MluCI,25,20.5,NULL,NULL,"**not cleaned prior to ligation; digest tests: extract only, P2 PCR test , old Digest ID: SPSO13_004D051",NA,NA,NA,0000-00-00,NA
D0110,E0046,2014-03-11,27.5,1000,SBfI,45,NULL,NULL,NULL,"digest tests: cleaned extract , old Digest ID: SPSO13_005D052",NA,NA,NA,0000-00-00,NA
D0111,E0046,2014-03-11,27.5,1000,EcoRI,45,24.5,NULL,NULL,"digest tests: cleaned extract, P2 PCR test , old Digest ID: SPSO13_005D053",NA,NA,NA,0000-00-00,NA
D0112,E0046,2014-03-11,27.5,1000,PstI,45,NULL,NULL,NULL,"digest tests: cleaned extract , old Digest ID: SPSO13_005D054",NA,NA,NA,0000-00-00,NA
D0113,E0046,2014-03-11,27.5,1000,MluCI,45,12.5,NULL,NULL,"digest tests: cleaned extract, P2 PCR test , old Digest ID: SPSO13_005D055",NA,NA,NA,0000-00-00,NA
D0114,E0046,2014-03-20,27.5,1000,SBfI_MluCI,40,14.4,NULL,NULL,"Pool 4 , old Digest ID: .",NA,NA,NA,0000-00-00,NA
D0115,E0073,2014-03-21,54.3,1000,SBfI,NULL,NULL,NULL,NULL,"410ng DNA used in a 25uL rxn , old Digest ID: .",NA,NA,NA,0000-00-00,NA
D0116,E0073,2014-03-21,54.3,1000,EcoRI,NULL,NULL,NULL,NULL,"410ng DNA used in a 25uL rxn , old Digest ID: .",NA,NA,NA,0000-00-00,NA
D0117,E0073,2014-03-21,54.3,1000,PstI,NULL,NULL,NULL,NULL,"410ng DNA used in a 25uL rxn , old Digest ID: .",NA,NA,NA,0000-00-00,NA
D0118,E0073,2014-03-21,54.3,1000,MluCI,NULL,NULL,NULL,NULL,"410ng DNA used in a 25uL rxn , old Digest ID: .",NA,NA,NA,0000-00-00,NA
D0119,E0002,2014-03-25,14,498,EcoRI,25,23.3,NULL,NULL,"**not cleaned prior to ligation, P2 PCR test , old Digest ID: .",NA,NA,NA,0000-00-00,NA
D0120,E0002,2014-03-25,14,498,MluCI,25,24.6,NULL,NULL,"**not cleaned prior to ligation, P2 PCR test , old Digest ID: .",NA,NA,NA,0000-00-00,NA
D0121,E0002,2014-03-25,14,498,SBfI_MluCI,40,4.79,NULL,NULL,old Digest ID: .,NA,NA,NA,0000-00-00,NA
D0122,E0002,2014-03-25,14,498,PstI_MluCI,40,6.14,NULL,NULL,old Digest ID: .,NA,NA,NA,0000-00-00,NA
D0123,E0021,2014-01-21,58.5,1000,SBfI_EcoRI,NULL,NULL,NULL,NULL,NA,NA,NA,NA,0000-00-00,NA
