fish_table_id,anem_table_id,"fish_obs_time","fish_spp",size,"color","sex",fin_id,"sample_id","tag_id","recap","fish_notes","fish_collector","fish_correction","fish_corr_date","fish_corr_editor","fish_corr_message"
3111,2587,NULL,"APCL",8.5,"YP","F",526,"APCL14_526",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3124,2595,NULL,"APCL",6.4,"Y","J",530,"APCL14_530",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3101,2584,NULL,"APCL",3.8,"YR","J",522,"APCL14_522",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3070,2566,NULL,"APCL",4.4,"W","J",510,"APCL14_510",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3057,2553,NULL,"APCL",4.2,"YR","J",506,"APCL14_506",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3045,2547,NULL,"APCL",5.6,"Y","J",501,"APCL14_501",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3037,2542,NULL,"APCL",4.8,"W","J",495,"APCL14_495",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3033,2540,NULL,"APCL",8.6,"YP","F",494,"APCL14_494",NULL,NULL,"no tube exists for this sample","MRS",NULL,NULL,NULL,NULL
3029,2534,NULL,"APCL",8.2,"O","M",491,"APCL14_491",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
47,25,NULL,"APCL",9.1,NULL,NULL,14,"APCL12_014",NULL,NULL,"#6 and #8 may be swapped. Not sure if I misread the number. However, size of fin clips suggest this is #8.","MLP",NULL,NULL,NULL,NULL
3001,2517,NULL,"APCL",4.7,"Y","J",482,"APCL14_482",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2989,2514,NULL,"APCL",8.2,"YP","F",478,"APCL14_478",NULL,NULL,"AND ALSO A SNAKE, I THINK (actually a goatfish)","MRS",NULL,NULL,NULL,NULL
2981,2513,NULL,"APCL",8.5,"YP","F",469,"APCL14_469",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
8001,7768,NULL,"APCL",4.3,"YR","J",556,"APCL16_556",NULL,"N",NULL,"MRS",NULL,NULL,NULL,NULL
7993,7763,NULL,"APCL",3.5,"YR","J",552,"APCL16_552",NULL,"N",NULL,"MRS",NULL,NULL,NULL,NULL
7938,7714,NULL,"APCL",4.4,"W","J",511,"APCL16_511",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
993,875,NULL,"APCL",8.8,"YP","F",218,"APCL13_218",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
988,872,NULL,"APCL",2.8,"YR","J",215,"APCL13_215",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
7873,7679,NULL,"APCL",4.6,"YR","J",467,"APCL16_467",NULL,"N","Fish 466 squirted eggs when PIT tag was inserted","MRS",NULL,NULL,NULL,NULL
980,867,NULL,"APCL",8.4,"O","M",216,"APCL13_216",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
978,867,NULL,"APCL",8.7,"YP","F",207,"APCL13_207",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
122,73,NULL,"APCL",9.2,NULL,NULL,54,"APCL12_054",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
976,865,NULL,"APCL",10.2,"O","M",206,"APCL13_206",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
7793,7576,NULL,"APCL",4.9,"YR","J",426,"APCL16_426",NULL,"N",NULL,"MRS",NULL,NULL,NULL,NULL
2865,2412,NULL,"APCL",5.1,"W","J",348,"APCL14_348",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2857,2407,NULL,"APCL",4.5,"W","J",343,"APCL14_343",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
7746,7450,NULL,"APCL",4.8,"W","J",387,"APCL16_387",NULL,"N",NULL,"MRS",NULL,NULL,NULL,NULL
7761,7491,NULL,"APCL",3.7,"YR","J",400,"APCL16_400",NULL,"N",NULL,"MRS",NULL,NULL,NULL,NULL
7737,7437,NULL,"APCL",3.8,"YR","J",379,"APCL16_379",NULL,"N",NULL,"MRS",NULL,NULL,NULL,NULL
954,853,NULL,"APCL",3.3,"W","J",191,"APCL13_191",NULL,NULL,"191 sample is two small tail pieces","MLP",NULL,NULL,NULL,NULL
2765,2338,NULL,"APCL",4,"Y","J",392,"APCL14_392",NULL,NULL,"oldAnemID is hard to read on datasheet (1X6). Based on location, must be 176.","MRS",NULL,NULL,NULL,NULL
947,847,NULL,"APCL",3.2,"W","J",183,"APCL13_183",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
941,843,NULL,"APCL",8.9,"O","M",178,"APCL13_178",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
2733,2256,NULL,"APCL",4.1,"Y","J",378,"APCL14_378",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
939,841,NULL,"APCL",10.3,"O","M",176,"APCL13_176",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
2717,2245,NULL,"APCL",7.5,"O","M",369,"APCL14_369",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
7489,7213,NULL,"APCL",4,"YR","J",232,"APCL16_232",NULL,"N",NULL,"MRS",NULL,NULL,NULL,NULL
2713,2243,NULL,"APCL",3.6,"W","J",367,"APCL14_367",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2701,2233,NULL,"APCL",4.7,"Y","J",361,"APCL14_361",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2693,2225,NULL,"APCL",4.2,"Y","J",358,"APCL14_358",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
7409,7149,NULL,"APCL",3.5,"YR","J",206,"APCL16_206",NULL,"N",NULL,"MLP",NULL,NULL,NULL,NULL
2625,2185,NULL,"APCL",3.6,"Y","J",301,"APCL14_301",NULL,NULL,"no extract because frozen in water instead of ethanol","MRS",NULL,NULL,NULL,NULL
2573,2159,NULL,"APCL",5.4,"Y","J",270,"APCL14_270",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
7193,7018,NULL,"APCL",3.6,"YR","J",124,"APCL16_124",NULL,"N",NULL,"MRS",NULL,NULL,NULL,NULL
888,808,NULL,"APCL",3.2,"W","J",143,"APCL13_143",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
7017,6914,NULL,"APCL",4.4,"YR","J",78,"APCL16_078",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2461,2094,NULL,"APCL",4.4,"W","J",215,"APCL14_215",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2457,2081,NULL,"APCL",4,"YR","J",213,"APCL14_213",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
870,796,NULL,"APCL",10.6,"O","M",137,"APCL13_137",NULL,NULL,"136 has very pointed tail, has streamers.","MLP",NULL,NULL,NULL,NULL
6638,6761,NULL,"APCL",5.1,"YR","J",154,"APCL15_154",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
407,347,NULL,"APCL",4.5,"Y","J",202,"APCL12_202",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
686,688,NULL,"APCL",2.9,"YR","J",36,"APCL13_036",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
684,686,NULL,"APCL",3.4,"W","J",38,"APCL13_038",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1879,1770,NULL,"APCL",3.5,"W","J",30,"APCL14_030",NULL,NULL,"no extract, X through tube","MLP",NULL,NULL,NULL,NULL
403,344,NULL,"APCL",7.4,"O","M",198,"APCL12_198",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
680,683,NULL,"APCL",3.1,"YR","J",34,"APCL13_034",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
29,15,NULL,"APCL",8.2,NULL,NULL,13,"APCL12_013",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
676,680,NULL,"APCL",3.7,"YR","J",32,"APCL13_032",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
25,13,NULL,"APCL",8.6,NULL,NULL,18,"APCL12_018",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
674,679,NULL,"APCL",6.8,"YR","J",30,"APCL13_030",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
670,677,NULL,"APCL",3.5,"Y","J",26,"APCL13_026",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
791,752,NULL,"APCL",4.2,"YR","J",99,"APCL13_099",NULL,NULL,"Changed Col from number 0 to letter O (MRS 7/17/17)","MLP",NULL,NULL,NULL,NULL
3167,2629,NULL,"APCL",8.4,"O","M",545,"APCL14_545",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
662,672,NULL,"APCL",11.2,"O","M",24,"APCL13_024",NULL,NULL,"no EtOH in vial","MLP",NULL,NULL,NULL,NULL
1061,926,NULL,"APCL",3.2,"YR","J",266,"APCL13_266",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3150,2617,NULL,"APCL",7.1,"O","M",539,"APCL14_539",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
49,25,NULL,"APCL",9.7,NULL,NULL,16,"APCL12_016",NULL,NULL,"#6 and #8 may be swapped. Not sure if I misread the number. However, size of fin clips suggest this is #8.","MLP",NULL,NULL,NULL,NULL
2109,1888,NULL,"APCL",3.5,"YR","J",116,"APCL14_116",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3146,2614,NULL,"APCL",7.5,"O","M",538,"APCL14_538",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
783,749,NULL,"APCL",5.2,"YR","J",96,"APCL13_096",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3142,2612,NULL,"APCL",4.5,"YR","J",536,"APCL14_536",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3138,2608,NULL,"APCL",4.1,"W","J",534,"APCL14_534",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3130,2601,NULL,"APCL",3.8,"W","J",532,"APCL14_532",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
779,748,NULL,"APCL",6.4,"YR","J",93,"APCL13_093",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3119,2594,NULL,"APCL",4.2,"W","J",531,"APCL14_531",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2081,1870,NULL,"APCL",4.7,"W","J",109,"APCL14_109",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
3123,2595,NULL,"APCL",7.1,"O","M",529,"APCL14_529",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3103,2585,NULL,"APCL",9.6,"O","M",523,"APCL14_523",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3115,2590,NULL,"APCL",4.2,"W","J",527,"APCL14_527",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3099,2584,NULL,"APCL",7.3,"O","M",520,"APCL14_520",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
769,742,NULL,"APCL",3.6,"YR","J",84,"APCL13_084",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
48,25,NULL,"APCL",8.4,NULL,NULL,10,"APCL12_010",NULL,NULL,"#6 and #8 may be swapped. Not sure if I misread the number. However, size of fin clips suggest this is #8.","MLP",NULL,NULL,NULL,NULL
3071,2566,NULL,"APCL",7,"O","M",511,"APCL14_511",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
749,731,NULL,"APCL",3.4,"YR","J",79,"APCL13_079",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
5945,6387,NULL,"APCL",5.7,"YR","J",23,"APCL15_023",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
729,717,NULL,"APCL",4.6,"YR","J",67,"APCL13_067",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
5833,6321,NULL,"APCL",4.8,"YR","J",2,"APCL15_002",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
727,716,NULL,"APCL",6.6,"YR","J",65,"APCL13_065",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
724,715,NULL,"APCL",9.3,"O","M",70,"APCL13_070",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
723,715,NULL,"APCL",3.8,"YR","J",64,"APCL13_064",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
719,713,NULL,"APCL",5.1,"YR","J",62,"APCL13_062",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
717,711,NULL,"APCL",4.1,"W","J",61,"APCL13_061",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
714,709,NULL,"APCL",8,"YP","F",59,"APCL13_059",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
712,709,NULL,"APCL",6.7,"YR","J",58,"APCL13_058",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
8306,7996,NULL,"APCL",7.8,"O","M",761,"APCL16_761",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3104,2585,NULL,"APCL",5.3,"Y","J",524,"APCL14_524",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3080,2572,NULL,"APCL",8.8,"O","M",516,"APCL14_516",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3065,2561,NULL,"APCL",3.9,"YR","J",509,"APCL14_509",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
3030,2535,NULL,"APCL",9.8,"YP","F",492,"APCL14_492",NULL,NULL,"no tube exists for this sample","MRS",NULL,NULL,NULL,NULL
3006,2518,NULL,"APCL",4.4,"YR","J",487,"APCL14_487",NULL,NULL,">12X 3.5 CM OR SMALLER","MRS",NULL,NULL,NULL,NULL
3000,2517,NULL,"APCL",9.8,"O","M",481,"APCL14_481",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2984,2514,NULL,"APCL",8.6,"O","M",473,"APCL14_473",NULL,NULL,"AND ALSO A SNAKE, I THINK (actually a goatfish)","MRS",NULL,NULL,NULL,NULL
2982,2513,NULL,"APCL",9,"O","M",470,"APCL14_470",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2954,2494,NULL,"APCL",4.7,"W","J",462,"APCL14_462",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2910,2445,NULL,"APCL",5.3,"W","J",447,"APCL14_447",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2902,2438,NULL,"APCL",5,"W","J",442,"APCL14_442",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2728,2253,NULL,"APCL",5.3,"W","J",376,"APCL14_376",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2714,2244,NULL,"APCL",3.9,"W","J",368,"APCL14_368",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2712,2242,NULL,"APCL",3.6,"W","J",366,"APCL14_366",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2680,2212,NULL,"APCL",4.9,"W","J",351,"APCL14_351",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2664,2203,NULL,"APCL",8,"O","M",318,"APCL14_318",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2614,2179,NULL,"APCL",4.3,"YR","J",294,"APCL14_294",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2460,2093,NULL,"APCL",3.8,"W","J",214,"APCL14_214",NULL,NULL,"velvety deep blue sponge everywhere","MRS",NULL,NULL,NULL,NULL
37,20,NULL,"APCL",9.2,NULL,NULL,3,"APCL12_003",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
36,19,NULL,"APCL",10.8,NULL,NULL,7,"APCL12_007",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
2299,1993,NULL,"APCL",7.8,"O","M",158,"APCL14_158",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
822,768,NULL,"APCL",2.5,"W","J",116,"APCL13_116",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
6574,6732,NULL,"APCL",3.8,"YR","J",146,"APCL15_146",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2217,1936,NULL,"APCL",4.8,"YR","J",139,"APCL14_139",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
2216,1936,NULL,"APCL",5.3,"YR","J",138,"APCL14_138",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
711,709,NULL,"APCL",3.2,"YR","J",57,"APCL13_057",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
706,705,NULL,"APCL",2.6,"W","J",53,"APCL13_053",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
704,702,NULL,"APCL",4.6,"YR","J",51,"APCL13_051",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
700,700,NULL,"APCL",4,"W","J",48,"APCL13_048",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
557,556,NULL,"APCL",8.5,"O","M",271,"APCL12_271",NULL,NULL,"no fin clip in vial","MLP",NULL,NULL,NULL,NULL
1584,1468,NULL,"APCL",3.7,"W","J",558,"APCL13_558",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
1580,1467,NULL,"APCL",8.3,"O","M",553,"APCL13_553",NULL,NULL,"no extract because mixed up extraction and don't know which fin went where","MLP",NULL,NULL,NULL,NULL
1576,1464,NULL,"APCL",7.9,"O","M",549,"APCL13_549",NULL,NULL,"no extract because mixed up extraction and don't know which fin went where","MLP",NULL,NULL,NULL,NULL
1574,1464,NULL,"APCL",8.4,"O","M",547,"APCL13_547",NULL,NULL,"no extract because mixed up extraction and don't know which fin went where","MLP",NULL,NULL,NULL,NULL
7289,7085,NULL,"APCL",4.9,"W","J",157,"APCL16_157",NULL,"N",NULL,"MRS",NULL,NULL,NULL,NULL
2549,2148,NULL,"APCL",4.3,"WR","J",260,"APCL14_260",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1530,1443,NULL,"APCL",8.1,"O","M",516,"APCL13_516",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
7137,6985,NULL,"APCL",5,"W","J",109,"APCL16_109",NULL,NULL,NULL,"MRS",NULL,NULL,NULL,NULL
1526,1441,NULL,"APCL",3,"YR","J",512,"APCL13_512",NULL,NULL,NULL,"MLP",NULL,NULL,NULL,NULL
